coming-in time;Init purchase;Final purchase;Sex;Age range;Builder;Carpentry;Plumbing;Electricity and electronic;painting;Tools;Total;payment method
9:14:20;9:14:28;9:18:04;F;2;2;0;0;0;3;0;5;2
9:16:27;9:18:06;9:19:52;F;3;0;0;4;0;0;0;4;1
9:30:43;9:30:50;9:45:24;M;2;4;0;3;3;0;0;10;1
9:31:12;9:45:27;9:46:04;F;2;0;0;0;0;1;0;1;1
9:31:56;9:46:05;9:46:40;M;2;0;0;0;1;0;0;1;1
9:31:58;9:48:09;9:55:33;F;3;1;0;1;4;0;1;7;1
9:43:01;9:55:34;9:56:13;F;3;0;4;0;0;0;0;4;1
10:03:21;10:03:32;10:04:58;F;3;0;2;0;0;1;1;4;1
10:04:02;10:05:01;10:10:24;F;2;3;0;7;0;0;0;10;2
10:07:08;10:10:25;10:11:13;M;2;0;0;0;2;0;0;2;1
10:09:11;10:11:13;10:11:24;M;3;0;0;0;0;0;0;0;1
10:11:50;10:11:55;10:12:52;F;4;2;0;0;1;0;0;3;1
10:12:32;10:12:56;10:30:11;F;4;7;0;5;3;3;0;18;2
10:17:17;10:30:12;10:30:29;F;4;0;2;0;0;0;0;2;1
10:17:17;10:30:31;10:36:01;M;4;5;0;5;0;0;0;10;1
10:25:38;10:36:04;10:37:27;F;2;0;0;0;0;0;0;0;1
10:32:00;10:38:26;10:39:10;M;3;0;0;0;0;0;0;0;1
11:11:58;11:12:09;11:21:05;M;2;0;2;0;7;0;0;9;1
11:40:19;11:40:29;11:44:21;F;3;0;4;0;1;1;0;6;1
11:43:56;11:44:22;11:45:02;M;2;0;0;5;0;0;2;7;1
11:55:35;11:55:49;12:14:06;M;4;4;0;0;6;0;0;10;2
